Date,Open,High,Low,Close,Volume
12/13/2013,687.799988,702,685,689.950012,6329020
12/16/2013,688,690.900024,681.200012,684.349976,5358061
12/17/2013,675.650024,675.650024,654.049988,657.599976,4485661
12/18/2013,650.5,680.650024,649.549988,666.25,3521829
12/19/2013,679,683.950012,650.400024,652.549988,2504879
12/20/2013,657.799988,668.599976,650.099976,664.599976,1430617
12/23/2013,658,671.5,657,664.450012,1382808
12/24/2013,665.549988,666.5,655.049988,657.299988,888674
12/26/2013,657.299988,672.200012,656.900024,669.049988,2011690
12/27/2013,664.099976,675.450012,664.099976,669.650024,1366003
12/30/2013,676.799988,677,665.150024,669.5,1056901
12/31/2013,672.099976,672.299988,660.099976,665.849976,1315328
1/1/2014,668,669.799988,663,665.150024,1123109
1/2/2014,665,674.75,653.549988,657,1807248
1/3/2014,652,666,650,663.099976,1628296
1/6/2014,663,663,657,661.700012,1490855
1/7/2014,667.099976,670.950012,653.299988,664.400024,1974230
1/8/2014,665.200012,666.950012,660,664.700012,1162370
1/9/2014,663.200012,666.049988,657.099976,662.950012,944368
1/10/2014,662.950012,674.700012,656.299988,662.049988,1537627
1/13/2014,660.099976,676.950012,656.900024,672.849976,1188145
1/14/2014,669.049988,676,668.299988,672.299988,894280
1/15/2014,673,682.700012,669.599976,680.549988,1156960
1/16/2014,684.400024,685,670.349976,673.049988,1125294
1/17/2014,675,675,659.049988,665,10843714
1/20/2014,668.099976,676.700012,666.400024,670.049988,1400092
1/21/2014,672.950012,678.799988,670,676.099976,1562981
1/22/2014,675.5,684.700012,674.650024,677.099976,1758334
1/23/2014,675,681.099976,672.75,679.5,1370685
1/24/2014,670,674.950012,663.700012,673.400024,2210725
1/27/2014,664.900024,664.900024,645.599976,649.200012,4265112
1/28/2014,648,656,638.599976,644.450012,4598856
1/29/2014,647.5,650.900024,640.549988,645.450012,2742731
1/30/2014,637.5,639.900024,627.650024,631.799988,2856365
1/31/2014,630,636.299988,625.099976,628.5,2405246
2/3/2014,629.950012,634,625.099976,626.5,1194205
2/4/2014,621.650024,635.5,616.799988,630.599976,1852326
2/5/2014,631,639.799988,625.099976,637.450012,1726346
2/6/2014,638.75,649.599976,629.5,647,3366736
2/7/2014,652.400024,654.5,642.099976,647.75,1007367
2/10/2014,647.650024,650.150024,636,643.900024,1570205
2/11/2014,646,647.150024,639.299988,644.799988,1116214
2/12/2014,646.599976,652.799988,643.650024,645.450012,1609240
2/13/2014,646,648,631.25,632.5,788800
